City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Kahului,US,20.8947,-156.47,84.22,73,40,27.63,scattered clouds
143,Biak,ID,-0.9131,122.8766,76.3,78,97,6.51,overcast clouds
144,Ilo,PE,-17.6394,-71.3375,60.42,81,23,5.99,few clouds
145,Viedma,AR,-40.8135,-62.9967,47.66,41,1,3.36,clear sky
146,Dehloran,IR,32.6941,47.2679,89.53,12,0,6.49,clear sky
147,Kemijarvi,FI,66.7131,27.4306,46.4,84,100,13.29,overcast clouds
148,Aksarka,RU,66.5606,67.7975,29.12,79,94,10.38,overcast clouds
149,Namatanai,PG,-3.6667,152.4333,84.2,67,97,6.67,overcast clouds
150,Butembo,CD,0.15,29.2833,57.0,87,92,2.42,overcast clouds
151,Khandyga,RU,62.6667,135.6,28.63,82,8,3.22,clear sky
152,San Ramon,US,37.7799,-121.978,94.32,21,1,1.99,clear sky
153,Dunedin,NZ,-45.8742,170.5036,48.79,98,100,10.0,overcast clouds
154,Bar Harbor,US,44.3876,-68.2039,56.26,82,90,3.0,overcast clouds
155,Neiafu,TO,-18.65,-173.9833,77.68,94,40,10.36,scattered clouds
156,Shenjiamen,CN,29.9576,122.298,77.86,89,4,13.51,clear sky
157,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,3.44,broken clouds
158,Butaritari,KI,3.0707,172.7902,82.42,68,86,18.48,overcast clouds
159,Dauphin,CA,51.1494,-100.0502,76.14,20,19,7.34,few clouds
160,Port-Gentil,GA,-0.7193,8.7815,77.61,85,100,13.35,overcast clouds
161,Kulhudhuffushi,MV,6.6221,73.07,82.13,78,77,16.42,broken clouds
162,Kieta,PG,-6.2167,155.6333,85.44,65,100,1.72,overcast clouds
163,Kushima,JP,31.4583,131.2333,75.88,61,0,7.61,clear sky
164,Victoria,HK,22.2855,114.1577,84.33,80,78,5.01,broken clouds
165,Sekoma,BW,-24.4,23.8833,54.39,21,0,8.34,clear sky
166,Luderitz,NA,-26.6481,15.1594,57.11,58,80,19.77,broken clouds
167,Lovozero,RU,68.005,35.0117,40.71,92,49,8.23,scattered clouds
168,Muros,ES,42.7762,-9.0603,59.23,94,83,5.23,broken clouds
169,Avera,US,33.194,-82.5271,80.47,61,96,5.32,overcast clouds
170,Griffith,US,41.5284,-87.4237,74.05,95,40,0.0,scattered clouds
171,Fortuna,US,40.5982,-124.1573,88.48,65,20,1.01,few clouds
172,Kavieng,PG,-2.5744,150.7967,83.3,69,95,5.39,overcast clouds
173,Acaponeta,MX,22.4964,-105.3594,87.66,66,100,7.09,overcast clouds
174,Mahibadhoo,MV,3.7833,72.9667,82.18,78,10,17.34,clear sky
175,Pozo Colorado,PY,-23.4923,-58.7972,66.51,87,100,10.69,overcast clouds
176,Sitka,US,57.0531,-135.33,46.29,71,75,6.91,light rain
177,Bethel,US,41.3712,-73.414,70.75,82,90,0.0,overcast clouds
178,Hualmay,PE,-11.0964,-77.6139,63.7,79,53,10.85,broken clouds
179,Norman Wells,CA,65.282,-126.8329,34.27,97,100,21.0,moderate rain
180,Arvika,SE,59.6553,12.5852,57.81,96,100,10.07,light rain
