City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
63,Hilo,US,83.93,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
64,Rikitea,PF,73.63,broken clouds,-23.1203,-134.9692,People ThankYou
65,La Ronge,CA,60.22,few clouds,55.1001,-105.2842,Northland Motor Hotel
68,Pisco,PE,62.65,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
69,Kapaa,US,78.19,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
70,Naze,JP,78.08,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
74,Contamana,PE,85.03,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
75,Culebra,PR,84.29,few clouds,18.303,-65.301,Palmetto Guesthouse
77,Bam,IR,74.82,clear sky,29.106,58.357,Bam Tourist Hotel
80,Caravelas,BR,76.21,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
81,Menongue,AO,63.43,few clouds,-14.6585,17.691,Ritz Lauca
82,Carnarvon,AU,62.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
83,Hamilton,US,71.2,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
84,Sao Lourenco Do Oeste,BR,63.7,light rain,-26.3592,-52.8511,Poente Hotel
87,Bambous Virieux,MU,72.21,light rain,-20.3428,57.7575,Casa Tia Villa
88,Lagoa,PT,70.56,few clouds,39.05,-27.9833,Casa Das Faias
89,Castro,BR,62.2,light rain,-24.7911,-50.0119,CHACARA BAILLY
93,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
94,New Norfolk,AU,61.66,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
95,Roma,US,65.66,moderate rain,43.2128,-75.4557,Wingate By Wyndham Rome
96,Santana Do Matos,BR,79.41,few clouds,-5.9575,-36.6556,Pousada Empório
97,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
98,Kasongo,CD,69.24,overcast clouds,-4.45,26.6667,Guest Hôtel
99,Ponta Do Sol,PT,76.01,overcast clouds,32.6667,-17.1,Hotel do Campo
106,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
108,Ribeira Grande,PT,71.71,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
110,Bowen,AU,78.91,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
111,Coahuayana,MX,85.48,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
114,Okato,NZ,65.43,overcast clouds,-39.2,173.8833,Goodin Country Garden
116,Suluq,LY,70.47,clear sky,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
117,Port Hedland,AU,68.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
121,Cabo San Lucas,MX,88.52,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
