City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
29,Bengkulu,ID,2021-10-02 20:22:05,-3.8004,102.2655,74.46,92,40,4.38
30,Rikitea,PF,2021-10-02 20:22:13,-23.1203,-134.9692,73.24,71,30,23.26
31,Waddan,LY,2021-10-02 20:22:14,29.1614,16.139,78.04,42,0,8.55
32,Ketchikan,US,2021-10-02 20:19:17,55.3422,-131.6461,51.78,85,85,11.23
33,Provideniya,RU,2021-10-02 20:22:14,64.3833,-173.3,24.66,74,3,4.25
34,Mahebourg,MU,2021-10-02 20:22:14,-20.4081,57.7,73.26,83,40,13.8
35,Saskylakh,RU,2021-10-02 20:22:15,71.9167,114.0833,20.88,97,100,3.49
36,Qaanaaq,GL,2021-10-02 20:22:15,77.484,-69.3632,28.62,86,100,14.07
37,Norman Wells,CA,2021-10-02 20:22:16,65.282,-126.8329,41.04,75,75,4.61
38,Tessalit,ML,2021-10-02 20:22:16,20.1986,1.0114,91.38,11,92,10.96
39,Malakal,SS,2021-10-02 20:22:17,9.5334,31.6605,70.93,96,31,4.34
40,Cape Town,ZA,2021-10-02 20:18:15,-33.9258,18.4232,55.09,59,20,6.91
41,Vaini,TO,2021-10-02 20:22:17,-21.2,-175.2,73.56,88,75,13.8
42,Pevek,RU,2021-10-02 20:22:17,69.7008,170.3133,24.35,67,18,21.07
43,Los Llanos De Aridane,ES,2021-10-02 20:22:18,28.6585,-17.9182,71.35,78,20,13.8
44,Beroroha,MG,2021-10-02 20:22:18,-21.6667,45.1667,75.9,70,2,5.35
45,Ribeira Grande,PT,2021-10-02 20:22:19,38.5167,-28.7,73.8,83,75,11.5
46,Kavieng,PG,2021-10-02 20:22:19,-2.5744,150.7967,81.18,72,100,4.54
47,Dwarka,IN,2021-10-02 20:22:19,22.2394,68.9678,81.46,82,92,7.4
48,Barrow,US,2021-10-02 20:22:20,71.2906,-156.7887,30.22,80,90,16.11
49,Hermanus,ZA,2021-10-02 20:22:20,-34.4187,19.2345,51.91,57,100,8.97
50,Charyshskoye,RU,2021-10-02 20:22:20,51.3978,83.5598,29.23,94,100,5.01
51,Dudinka,RU,2021-10-02 20:22:21,69.4058,86.1778,20.01,92,78,13.49
52,New Norfolk,AU,2021-10-02 20:22:21,-42.7826,147.0587,53.1,79,99,1.99
53,Arraial Do Cabo,BR,2021-10-02 20:22:22,-22.9661,-42.0278,80.46,65,0,6.91
54,Arlit,NE,2021-10-02 20:22:22,18.7369,7.3853,88.9,14,0,15.17
55,Topeka,US,2021-10-02 20:22:23,39.0483,-95.678,74.71,72,75,0.0
56,Kapaa,US,2021-10-02 20:22:23,22.0752,-159.319,82.72,72,75,4.0
57,Andenes,NO,2021-10-02 20:22:23,69.3143,16.1194,53.08,82,90,4.61
58,Westport,US,2021-10-02 20:22:24,41.1415,-73.3579,77.05,54,1,1.99
59,Castro,BR,2021-10-02 20:22:24,-24.7911,-50.0119,62.33,97,100,4.05
60,Pangnirtung,CA,2021-10-02 20:22:25,66.1451,-65.7125,40.55,76,56,3.22
61,Kieta,PG,2021-10-02 20:22:25,-6.2167,155.6333,78.98,81,100,2.57
62,Yellowknife,CA,2021-10-02 20:17:28,62.456,-114.3525,51.42,74,75,19.57
63,Hobart,AU,2021-10-02 20:22:26,-42.8794,147.3294,53.46,98,75,1.01
64,Bluff,NZ,2021-10-02 20:22:26,-46.6,168.3333,51.8,85,100,5.3
65,Atuona,PF,2021-10-02 20:22:26,-9.8,-139.0333,77.97,75,27,22.28
66,Norden,DE,2021-10-02 20:22:27,53.6,7.2,57.94,86,100,21.68
67,Tasiilaq,GL,2021-10-02 20:22:27,65.6145,-37.6368,37.56,62,1,5.59
68,Tirumullaivasal,IN,2021-10-02 20:22:28,11.2333,79.8333,80.33,82,97,6.31
69,Namibe,AO,2021-10-02 20:22:28,-15.1961,12.1522,61.27,84,4,5.12
70,Port Elizabeth,ZA,2021-10-02 20:22:28,-33.918,25.5701,51.1,87,90,18.41
71,Dikson,RU,2021-10-02 20:22:29,73.5069,80.5464,33.93,98,100,13.89
72,Cabo San Lucas,MX,2021-10-02 20:18:51,22.8909,-109.9124,86.5,78,90,4.61
73,Vila Franca Do Campo,PT,2021-10-02 20:22:29,37.7167,-25.4333,76.19,89,100,7.7
74,Mataura,NZ,2021-10-02 20:22:30,-46.1927,168.8643,51.48,79,100,1.25
75,Gujar Khan,PK,2021-10-02 20:22:30,33.2558,73.3026,74.62,76,0,5.1
76,Nelson Bay,AU,2021-10-02 20:22:31,-32.7167,152.15,61.09,84,0,13.89
77,Makakilo City,US,2021-10-02 20:21:41,21.3469,-158.0858,82.72,65,90,12.66
78,Salalah,OM,2021-10-02 20:22:31,17.0151,54.0924,82.49,83,75,6.91
79,Roma,US,2021-10-02 20:22:30,43.2128,-75.4557,77.86,55,1,9.22
80,Tarko-Sale,RU,2021-10-02 20:22:32,64.9225,77.785,28.76,96,100,13.49
81,Aklavik,CA,2021-10-02 20:22:32,68.2191,-135.0107,36.43,100,90,8.05
82,Sernur,RU,2021-10-02 20:22:32,56.9333,49.1536,44.37,88,100,3.76
83,Saint George,US,2021-10-02 20:20:36,37.1041,-113.5841,88.27,17,1,1.01
84,Hami,CN,2021-10-02 20:22:33,42.8,93.45,50.83,44,100,6.22
85,Achinsk,RU,2021-10-02 20:22:33,56.2694,90.4993,36.84,84,100,10.89
86,Kota Tinggi,MY,2021-10-02 20:22:34,1.7381,103.8999,78.84,89,99,1.03
87,Nikolskoye,RU,2021-10-02 20:22:34,59.7035,30.7861,46.87,90,99,5.01
88,Chokurdakh,RU,2021-10-02 20:22:35,70.6333,147.9167,5.0,98,47,4.12
89,Road Town,VG,2021-10-02 20:18:38,18.4167,-64.6167,86.04,70,40,10.36
90,Miraflores,MX,2021-10-02 20:22:35,19.2167,-98.8083,72.36,78,88,1.86
91,Ahuimanu,US,2021-10-02 20:22:35,21.4447,-157.8378,83.91,66,90,11.5
92,Iguape,BR,2021-10-02 20:22:36,-24.7081,-47.5553,69.42,92,100,7.58
93,Praia Da Vitoria,PT,2021-10-02 20:20:03,38.7333,-27.0667,73.76,88,75,16.06
94,Port Alfred,ZA,2021-10-02 20:22:36,-33.5906,26.891,55.54,63,64,25.72
95,Mar Del Plata,AR,2021-10-02 20:19:10,-38.0023,-57.5575,61.88,61,0,7.0
96,Sturgis,US,2021-10-02 20:22:37,41.7992,-85.4192,72.32,53,90,8.05
97,Havre-Saint-Pierre,CA,2021-10-02 20:22:38,50.2334,-63.5986,48.56,93,90,8.05
98,Saryagash,KZ,2021-10-02 20:22:38,41.4511,69.1701,44.56,35,0,3.49
99,Waynesboro,US,2021-10-02 20:22:38,38.0685,-78.8895,80.78,49,1,5.75
100,Birjand,IR,2021-10-02 20:22:39,32.8663,59.2211,59.47,23,0,9.22
101,Mount Isa,AU,2021-10-02 20:22:39,-20.7333,139.5,56.97,30,0,4.61
102,Prieska,ZA,2021-10-02 20:22:40,-29.6641,22.7474,54.84,43,1,10.92
103,Kavaratti,IN,2021-10-02 20:22:40,10.5669,72.642,81.97,80,97,15.55
104,Kaka,TM,2021-10-02 20:22:40,37.3482,59.6143,56.03,30,0,5.93
105,Hithadhoo,MV,2021-10-02 20:22:41,-0.6,73.0833,82.45,76,9,11.61
106,Chuy,UY,2021-10-02 20:22:41,-33.6971,-53.4616,62.22,67,0,8.23
107,Chapleau,CA,2021-10-02 20:22:42,47.8405,-83.4034,59.09,100,90,5.75
108,Bose,IT,2021-10-02 20:22:42,45.4612,8.0137,64.24,88,100,3.38
109,Majene,ID,2021-10-02 20:22:42,-3.5403,118.9707,76.42,86,100,2.91
110,Goderich,CA,2021-10-02 20:21:52,43.7501,-81.7165,76.03,56,100,11.5
111,Walvis Bay,NA,2021-10-02 20:22:43,-22.9575,14.5053,56.08,76,0,4.61
112,Idlib,SY,2021-10-02 20:22:43,35.9306,36.6339,72.79,51,1,8.48
113,Avarua,CK,2021-10-02 20:22:44,-21.2078,-159.775,75.25,88,90,5.75
114,Togur,RU,2021-10-02 20:21:17,58.3631,82.8265,28.81,96,80,4.45
115,Ariquemes,BR,2021-10-02 20:22:44,-9.9133,-63.0408,91.54,44,83,4.45
116,Tautira,PF,2021-10-02 20:22:44,-17.7333,-149.15,84.22,75,40,15.77
117,Xingcheng,CN,2021-10-02 20:22:45,40.6167,120.7167,66.13,96,100,11.43
118,Cidreira,BR,2021-10-02 20:22:45,-30.1811,-50.2056,64.45,70,82,8.86
119,Codrington,AU,2021-10-02 20:22:46,-38.2667,141.9667,47.61,94,46,6.55
120,Staryy Nadym,RU,2021-10-02 20:22:46,65.6118,72.6842,31.44,81,100,14.7
121,Palanga,LT,2021-10-02 20:22:46,55.9175,21.0686,49.95,78,79,18.48
122,Jiangyou,CN,2021-10-02 20:22:47,31.7667,104.7167,72.34,90,100,5.35
